Background Questions,,,,,,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,45.5%,54.5%,0.0%,11,,,,,,,,
,Service Provider,9.1%,9.1%,81.8%,0.0%,11,,,,,,,,
,Business Dev Director,0.0%,27.3%,72.7%,0.0%,11,,,,,,,,
,Other/Research,0.0%,29.4%,64.7%,5.9%,17,,,,,,,,
NJ Employees,Less than 10,0.0%,35.3%,58.8%,5.9%,17,,,,,,,,
,10 - 49,4.5%,36.4%,59.1%,0.0%,22,,,,,,,,
,50 or More,4.3%,30.4%,65.2%,0.0%,23,,,,,,,,
BioNJ Membership,Yes,6.7%,32.0%,60.0%,1.3%,75,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,8.8%,38.2%,50.0%,2.9%,34,,,,,,,,
,Some responsibility,3.6%,32.1%,64.3%,0.0%,28,,,,,,,,
,No responsibility,7.7%,15.4%,76.9%,0.0%,13,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,7.5%,35.8%,56.6%,0.0%,53,,,,,,,,
,Neutral,0.0%,25.0%,75.0%,0.0%,16,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,66.7%,33.3%,3,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,15.0%,15.0%,70.0%,0.0%,20,,,,,,,,
,Satisfied,2.2%,40.0%,57.8%,0.0%,45,,,,,,,,
,Neutral,14.3%,28.6%,57.1%,0.0%,7,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,33.3%,33.3%,33.3%,3,,,,,,,,
,,,,,,,,,,,,,,
Q11o Satisfaction with Lab Supplies (member),,,,,,,,,,,,,,
,,Lab Supplies,,,,,Total,,,,,,,
,,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not Satisfied At All,Count,,,,,,,
All Respondents,_____________   _____________,3.0%,24.2%,69.7%,1.5%,1.5%,66,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,4.8%,33.3%,59.5%,0.0%,2.4%,42,,,,,,,
,Biotechnology/ Life Science Service,0.0%,14.3%,78.6%,7.1%,0.0%,14,,,,,,,
,Other,0.0%,0.0%,100.0%,0.0%,0.0%,10,,,,,,,
Position,CEO/CFO,4.8%,38.1%,57.1%,0.0%,0.0%,21,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,45.5%,54.5%,0.0%,0.0%,11,,,,,,,
,Service Provider,12.5%,0.0%,75.0%,12.5%,0.0%,8,,,,,,,
,Business Dev Director,0.0%,0.0%,100.0%,0.0%,0.0%,10,,,,,,,
,Other/Research,0.0%,18.8%,75.0%,0.0%,6.3%,16,,,,,,,
NJ Employees,Less than 10,0.0%,28.6%,57.1%,7.1%,7.1%,14,,,,,,,
,10 - 49,0.0%,28.6%,71.4%,0.0%,0.0%,21,,,,,,,
,50 or More,0.0%,28.6%,71.4%,0.0%,0.0%,21,,,,,,,
BioNJ Membership,Yes,3.0%,24.2%,69.7%,1.5%,1.5%,66,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,0.0%,28.6%,67.9%,0.0%,3.6%,28,,,,,,,
,Some responsibility,4.2%,20.8%,70.8%,4.2%,0.0%,24,,,,,,,
,No responsibility,7.1%,21.4%,71.4%,0.0%,0.0%,14,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,2.1%,29.2%,68.8%,0.0%,0.0%,48,,,,,,,
,Neutral,0.0%,7.7%,84.6%,7.7%,0.0%,13,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,50.0%,0.0%,50.0%,2,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,10.0%,15.0%,75.0%,0.0%,0.0%,20,,,,,,,
,Satisfied,0.0%,31.6%,65.8%,2.6%,0.0%,38,,,,,,,
,Neutral,0.0%,20.0%,80.0%,0.0%,0.0%,5,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,0.0%,66.7%,0.0%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q11p Satisfaction with Insurances (member),,,,,,,,,,,,,,
,,Insurances,,,Total,,,,,,,,,
,,Very Satisfied,Satisfied,Neutral,Count,,,,,,,,,
All Respondents,_____________   _____________,3.3%,14.8%,82.0%,61,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,5.6%,19.4%,75.0%,36,,,,,,,,,
,Biotechnology/ Life Science Service,0.0%,13.3%,86.7%,15,,,,,,,,,
,Other,0.0%,0.0%,100.0%,10,,,,,,,,,
Position,CEO/CFO,4.8%,14.3%,81.0%,21,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,36.4%,63.6%,11,,,,,,,,,
,Service Provider,12.5%,0.0%,87.5%,8,,,,,,,,,
,Business Dev Director,0.0%,0.0%,100.0%,8,,,,,,,,,
,Other/Research,0.0%,15.4%,84.6%,13,,,,,,,,,
NJ Employees,Less than 10,0.0%,13.3%,86.7%,15,,,,,,,,,
,10 - 49,0.0%,15.8%,84.2%,19,,,,,,,,,
,50 or More,0.0%,21.1%,78.9%,19,,,,,,,,,
BioNJ Membership,Yes,3.3%,14.8%,82.0%,61,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,0.0%,12.0%,88.0%,25,,,,,,,,,
,Some responsibility,4.3%,17.4%,78.3%,23,,,,,,,,,
,No responsibility,7.7%,15.4%,76.9%,13,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,2.2%,17.8%,80.0%,45,,,,,,,,,
,Neutral,0.0%,0.0%,100.0%,12,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,100.0%,1,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,10.5%,10.5%,78.9%,19,,,,,,,,,
,Satisfied,0.0%,20.0%,80.0%,35,,,,,,,,,
,Neutral,0.0%,0.0%,100.0%,5,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,0.0%,100.0%,2,,,,,,,,,
,,,,,,,,,,,,,,
Q11q Satisfaction with Office Supplies (member),,,,,,,,,,,,,,
,,Office Supplies,,Total,,,,,,,,,,
,,Satisfied,Neutral,Count,,,,,,,,,,
All Respondents,_____________   _____________,17.2%,82.8%,58,,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,22.9%,77.1%,35,,,,,,,,,,
,Biotechnology/ Life Science Service,14.3%,85.7%,14,,,,,,,,,,
,Other,0.0%,100.0%,9,,,,,,,,,,
Position,CEO/CFO,20.0%,80.0%,20,,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",50.0%,50.0%,10,,,,,,,,,,
,Service Provider,0.0%,100.0%,7,,,,,,,,,,
,Business Dev Director,0.0%,100.0%,9,,,,,,,,,,
,Other/Research,8.3%,91.7%,12,,,,,,,,,,
NJ Employees,Less than 10,15.4%,84.6%,13,,,,,,,,,,
,10 - 49,15.8%,84.2%,19,,,,,,,,,,
,50 or More,27.8%,72.2%,18,,,,,,,,,,
BioNJ Membership,Yes,17.2%,82.8%,58,,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,15.4%,84.6%,26,,,,,,,,,,
,Some responsibility,25.0%,75.0%,20,,,,,,,,,,
,No responsibility,8.3%,91.7%,12,,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,20.0%,80.0%,45,,,,,,,,,,
,Neutral,0.0%,100.0%,10,,,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,100.0%,1,,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,11.1%,88.9%,18,,,,,,,,,,
,Satisfied,24.2%,75.8%,33,,,,,,,,,,
,Neutral,0.0%,100.0%,5,,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,100.0%,2,,,,,,,,,,
,,,,,,,,,,,,,,
Q11r Satisfaction with Life Sciences Talent Network at BioNJ (member),,,,,,,,,,,,,,
,,Life Sciences Talent Network at BioNJ,,,,,Total,,,,,,,
,,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not Satisfied At All,Count,,,,,,,
All Respondents,_____________   _____________,9.8%,46.7%,38.0%,4.3%,1.1%,92,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,9.6%,50.0%,38.5%,1.9%,0.0%,52,,,,,,,
,Biotechnology/ Life Science Service,7.7%,50.0%,26.9%,11.5%,3.8%,26,,,,,,,
,Other,14.3%,28.6%,57.1%,0.0%,0.0%,14,,,,,,,
Position,CEO/CFO,7.1%,46.4%,35.7%,7.1%,3.6%,28,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",23.5%,58.8%,17.6%,0.0%,0.0%,17,,,,,,,
,Service Provider,10.0%,10.0%,60.0%,20.0%,0.0%,10,,,,,,,
,Business Dev Director,6.7%,46.7%,46.7%,0.0%,0.0%,15,,,,,,,
,Other/Research,4.5%,54.5%,40.9%,0.0%,0.0%,22,,,,,,,
NJ Employees,Less than 10,9.1%,27.3%,50.0%,9.1%,4.5%,22,,,,,,,
,10 - 49,7.1%,53.6%,35.7%,3.6%,0.0%,28,,,,,,,
,50 or More,13.8%,55.2%,27.6%,3.4%,0.0%,29,,,,,,,
BioNJ Membership,Yes,9.8%,46.7%,38.0%,4.3%,1.1%,92,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,11.9%,40.5%,40.5%,4.8%,2.4%,42,,,,,,,
,Some responsibility,8.8%,58.8%,26.5%,5.9%,0.0%,34,,,,,,,
,No responsibility,6.3%,37.5%,56.3%,0.0%,0.0%,16,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,11.9%,52.2%,34.3%,1.5%,0.0%,67,,,,,,,
,Neutral,0.0%,23.5%,64.7%,11.8%,0.0%,17,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,0.0%,50.0%,50.0%,2,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,23.3%,43.3%,33.3%,0.0%,0.0%,30,,,,,,,
,Satisfied,3.8%,55.8%,34.6%,5.8%,0.0%,52,,,,,,,
,Neutral,0.0%,14.3%,71.4%,14.3%,0.0%,7,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,0.0%,66.7%,0.0%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q11s Satisfaction with Training Grants (member),,,,,,,,,,,,,,
,,Training Grants,,,,Total,,,,,,,,
,,Very Satisfied,Satisfied,Neutral,Not Satisfied,Count,,,,,,,,
All Respondents,_____________   _____________,5.9%,33.8%,58.8%,1.5%,68,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,9.1%,38.6%,50.0%,2.3%,44,,,,,,,,
,Biotechnology/ Life Science Service,0.0%,26.7%,73.3%,0.0%,15,,,,,,,,
,Other,0.0%,22.2%,77.8%,0.0%,9,,,,,,,,
Position,CEO/CFO,4.5%,45.5%,50.0%,0.0%,22,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",15.4%,38.5%,38.5%,7.7%,13,,,,,,,,
,Service Provider,12.5%,0.0%,87.5%,0.0%,8,,,,,,,,
,Business Dev Director,0.0%,20.0%,80.0%,0.0%,10,,,,,,,,
,Other/Research,0.0%,40.0%,60.0%,0.0%,15,,,,,,,,
NJ Employees,Less than 10,0.0%,21.4%,78.6%,0.0%,14,,,,,,,,
,10 - 49,5.0%,40.0%,55.0%,0.0%,20,,,,,,,,
,50 or More,9.1%,40.9%,45.5%,4.5%,22,,,,,,,,
BioNJ Membership,Yes,5.9%,33.8%,58.8%,1.5%,68,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,7.1%,28.6%,64.3%,0.0%,28,,,,,,,,
,Some responsibility,3.8%,50.0%,42.3%,3.8%,26,,,,,,,,
,No responsibility,7.1%,14.3%,78.6%,0.0%,14,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,6.0%,40.0%,54.0%,0.0%,50,,,,,,,,
,Neutral,0.0%,15.4%,84.6%,0.0%,13,,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,0.0%,100.0%,0.0%,1,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,19.0%,28.6%,52.4%,0.0%,21,,,,,,,,
,Satisfied,0.0%,40.0%,57.5%,2.5%,40,,,,,,,,
,Neutral,0.0%,20.0%,80.0%,0.0%,5,,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,0.0%,100.0%,0.0%,2,,,,,,,,
,,,,,,,,,,,,,,
Q12 Rate your overall level of satisfaction with BioNJ programs and services (member),,,,,,,,,,,,,,
,,Rate your overall level of satisfaction with BioNJ programs and services,,,,,Total,,,,,,,
,,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not Satisfied At All,Count,,,,,,,
All Respondents,_____________   _____________,28.1%,58.2%,9.8%,3.3%,0.7%,153,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,32.1%,55.1%,11.5%,1.3%,0.0%,78,,,,,,,
,Biotechnology/ Life Science Service,20.0%,63.6%,7.3%,7.3%,1.8%,55,,,,,,,
,Other,36.8%,52.6%,10.5%,0.0%,0.0%,19,,,,,,,
Position,CEO/CFO,26.4%,60.4%,7.5%,3.8%,1.9%,53,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",33.3%,55.6%,11.1%,0.0%,0.0%,27,,,,,,,
,Service Provider,28.6%,50.0%,14.3%,7.1%,0.0%,14,,,,,,,
,Business Dev Director,30.8%,61.5%,3.8%,3.8%,0.0%,26,,,,,,,
,Other/Research,24.2%,57.6%,15.2%,3.0%,0.0%,33,,,,,,,
NJ Employees,Less than 10,25.5%,51.1%,10.6%,10.6%,2.1%,47,,,,,,,
,10 - 49,30.0%,57.5%,12.5%,0.0%,0.0%,40,,,,,,,
,50 or More,27.9%,65.1%,7.0%,0.0%,0.0%,43,,,,,,,
BioNJ Membership,Yes,28.1%,58.2%,9.8%,3.3%,0.7%,153,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,22.5%,62.0%,9.9%,4.2%,1.4%,71,,,,,,,
,Some responsibility,33.3%,59.3%,3.7%,3.7%,0.0%,54,,,,,,,
,No responsibility,29.6%,48.1%,22.2%,0.0%,0.0%,27,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,35.2%,61.1%,3.7%,0.0%,0.0%,108,,,,,,,
,Neutral,3.3%,56.7%,30.0%,10.0%,0.0%,30,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,20.0%,20.0%,40.0%,20.0%,5,,,,,,,
,,,,,,,,,,,,,,
Q13 How strongly do you agree or disagree that BioNj should devote resources to providing an internship program? (member),,,,,,,,,,,,,,
,,How strongly do you agree or disagree that BioNj should devote resources to providing an internship program?,,,,,Total,,,,,,,
,,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Count,,,,,,,
All Respondents,_____________   _____________,33.6%,46.7%,16.4%,2.6%,0.7%,152,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,31.2%,51.9%,14.3%,2.6%,0.0%,77,,,,,,,
,Biotechnology/ Life Science Service,34.5%,43.6%,16.4%,3.6%,1.8%,55,,,,,,,
,Other,36.8%,36.8%,26.3%,0.0%,0.0%,19,,,,,,,
Position,CEO/CFO,44.2%,38.5%,13.5%,1.9%,1.9%,52,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",22.2%,66.7%,7.4%,3.7%,0.0%,27,,,,,,,
,Service Provider,35.7%,21.4%,35.7%,7.1%,0.0%,14,,,,,,,
,Business Dev Director,26.9%,57.7%,15.4%,0.0%,0.0%,26,,,,,,,
,Other/Research,30.3%,45.5%,21.2%,3.0%,0.0%,33,,,,,,,
NJ Employees,Less than 10,38.3%,40.4%,17.0%,2.1%,2.1%,47,,,,,,,
,10 - 49,35.0%,50.0%,12.5%,2.5%,0.0%,40,,,,,,,
,50 or More,30.2%,48.8%,16.3%,4.7%,0.0%,43,,,,,,,
BioNJ Membership,Yes,33.6%,46.7%,16.4%,2.6%,0.7%,152,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,40.0%,40.0%,17.1%,1.4%,1.4%,70,,,,,,,
,Some responsibility,27.8%,55.6%,13.0%,3.7%,0.0%,54,,,,,,,
,No responsibility,29.6%,44.4%,22.2%,3.7%,0.0%,27,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,40.2%,44.9%,13.1%,0.9%,0.9%,107,,,,,,,
,Neutral,16.7%,56.7%,23.3%,3.3%,0.0%,30,,,,,,,
,Not Valuable/Not Valuable At All,20.0%,20.0%,40.0%,20.0%,0.0%,5,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,46.5%,41.9%,9.3%,2.3%,0.0%,43,,,,,,,
,Satisfied,28.1%,52.8%,15.7%,2.2%,1.1%,89,,,,,,,
,Neutral,42.9%,28.6%,28.6%,0.0%,0.0%,14,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,33.3%,50.0%,16.7%,0.0%,6,,,,,,,
,,,,,,,,,,,,,,
Q14 Respondents who have indicated No Opinion on having BioNJ offer a type of service or connection to start-ups (all),,,,,,,,,,,,,,
,No Opinion,,,,,,,,,,,,,
Venture capital firm,24.3%,,,,,,,,,,,,,
Legal firm,23.8%,,,,,,,,,,,,,
University/college,26.7%,,,,,,,,,,,,,
Investment firm,23.8%,,,,,,,,,,,,,
Pharmaceutical company,19.8%,,,,,,,,,,,,,
Research firm,21.8%,,,,,,,,,,,,,
Accounting firm,22.5%,,,,,,,,,,,,,
International firm,26.5%,,,,,,,,,,,,,
Distributor firm,26.3%,,,,,,,,,,,,,
Not-for-profit organization,25.3%,,,,,,,,,,,,,
Marketing consultant,24.0%,,,,,,,,,,,,,
Regulatory consultant,19.6%,,,,,,,,,,,,,
Master Service Agreement for Clinical Trials,24.5%,,,,,,,,,,,,,
Other,64.1%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Q14 what type of service or connection could BioNJ offer to contribute to your Success as a start-up? (all),,,,,,,,,,,,,,
,Very Valuable,Valuable,Neutral,Not Valuable,Not Valuable At All,,,,,,,,,
Venture capital firm,38.5%,32.1%,21.8%,6.4%,1.3%,,,,,,,,,
Legal firm,11.7%,29.9%,39.0%,16.9%,2.6%,,,,,,,,,
University/college,17.6%,37.8%,32.4%,10.8%,1.4%,,,,,,,,,
Investment firm,31.2%,39.0%,22.1%,7.8%,0.0%,,,,,,,,,
Pharmaceutical company,37.6%,41.2%,17.6%,3.5%,0.0%,,,,,,,,,
Research firm,13.9%,41.8%,36.7%,5.1%,2.5%,,,,,,,,,
Accounting firm,10.1%,24.1%,44.3%,16.5%,5.1%,,,,,,,,,
International firm,5.6%,23.6%,50.0%,15.3%,5.6%,,,,,,,,,
Distributor firm,12.3%,17.8%,46.6%,17.8%,5.5%,,,,,,,,,
Not-for-profit organization,5.4%,14.9%,55.4%,17.6%,6.8%,,,,,,,,,
Marketing consultant,6.6%,25.0%,51.3%,15.8%,1.3%,,,,,,,,,
Regulatory consultant,15.9%,37.8%,34.1%,8.5%,3.7%,,,,,,,,,
Master Service Agreement for Clinical Trials,16.9%,26.0%,42.9%,9.1%,5.2%,,,,,,,,,
Other,42.9%,7.1%,50.0%,0.0%,0.0%,,,,,,,,,
,,,,,,,,,,,,,,
Q14a Value of Venture capital firm (all),,,,,,,,,,,,,,
,,Venture capital firm,,,,,Total,,,,,,,
,,Very Valuable,Valuable,Neutral,Not Valuable,Not Valuable At All,Count,,,,,,,
All Respondents,_____________   _____________,38.5%,32.1%,21.8%,6.4%,1.3%,78,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,40.0%,25.0%,27.5%,5.0%,2.5%,40,,,,,,,
,Biotechnology/ Life Science Service,38.5%,38.5%,19.2%,3.8%,0.0%,26,,,,,,,
,Other,36.4%,45.5%,9.1%,9.1%,0.0%,11,,,,,,,
Position,CEO/CFO,44.4%,33.3%,19.4%,2.8%,0.0%,36,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",62.5%,0.0%,25.0%,12.5%,0.0%,8,,,,,,,
,Service Provider,100.0%,0.0%,0.0%,0.0%,0.0%,4,,,,,,,
,Business Dev Director,7.1%,64.3%,21.4%,7.1%,0.0%,14,,,,,,,
,Other/Research,25.0%,25.0%,31.3%,12.5%,6.3%,16,,,,,,,
NJ Employees,Less than 10,39.4%,39.4%,15.2%,6.1%,0.0%,33,,,,,,,
,10 - 49,34.8%,26.1%,34.8%,4.3%,0.0%,23,,,,,,,
,50 or More,40.0%,26.7%,13.3%,13.3%,6.7%,15,,,,,,,
BioNJ Membership,Yes,40.6%,29.7%,21.9%,6.3%,1.6%,64,,,,,,,
,Former member,22.2%,44.4%,22.2%,11.1%,0.0%,9,,,,,,,
,Never member,40.0%,40.0%,20.0%,0.0%,0.0%,5,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,35.9%,35.9%,20.5%,5.1%,2.6%,39,,,,,,,
,Some responsibility,38.5%,30.8%,19.2%,11.5%,0.0%,26,,,,,,,
,No responsibility,41.7%,25.0%,33.3%,0.0%,0.0%,12,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,45.1%,25.5%,21.6%,7.8%,0.0%,51,,,,,,,
,Neutral,25.0%,41.7%,25.0%,0.0%,8.3%,12,,,,,,,
,Not Valuable/Not Valuable At All,0.0%,100.0%,0.0%,0.0%,0.0%,1,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,57.1%,21.4%,21.4%,0.0%,0.0%,14,,,,,,,
,Satisfied,38.6%,27.3%,22.7%,9.1%,2.3%,44,,,,,,,
,Neutral,25.0%,50.0%,25.0%,0.0%,0.0%,4,,,,,,,
,Not Satisfied/ Not Satisfied At All,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
,,,,,,,,,,,,,,
Q14b Value of Legal firm (all),,,,,,,,,,,,,,
,,Legal firm,,,,,Total,,,,,,,
,,Very Valuable,Valuable,Neutral,Not Valuable,Not Valuable At All,Count,,,,,,,
All Respondents,_____________   _____________,11.7%,29.9%,39.0%,16.9%,2.6%,77,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,14.6%,19.5%,41.5%,19.5%,4.9%,41,,,,,,,
,Biotechnology/ Life Science Service,8.3%,50.0%,29.2%,12.5%,0.0%,24,,,,,,,
,Other,9.1%,27.3%,54.5%,9.1%,0.0%,11,,,,,,,
Position,CEO/CFO,16.7%,19.4%,44.4%,16.7%,2.8%,36,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",12.5%,25.0%,50.0%,12.5%,0.0%,8,,,,,,,
,Service Provider,0.0%,25.0%,50.0%,25.0%,0.0%,4,,,,,,,
,Business Dev Director,0.0%,76.9%,15.4%,7.7%,0.0%,13,,,,,,,
,Other/Research,12.5%,18.8%,37.5%,25.0%,6.3%,16,,,,,,,
NJ Employees,Less than 10,6.1%,30.3%,39.4%,21.2%,3.0%,33,,,,,,,
,10 - 49,13.0%,26.1%,43.5%,13.0%,4.3%,23,,,,,,,
,50 or More,21.4%,14.3%,42.9%,21.4%,0.0%,14,,,,,,,
BioNJ Membership,Yes,12.7%,30.2%,38.1%,15.9%,3.2%,63,,,,,,,
,Former member,11.1%,22.2%,44.4%,22.2%,0.0%,9,,,,,,,
,Never member,0.0%,40.0%,40.0%,20.0%,0.0%,5,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,12.8%,28.2%,41.0%,17.9%,0.0%,39,,,,,,,
,Some responsibility,4.0%,36.0%,32.0%,24.0%,4.0%,25,,,,,,,
,No responsibility,25.0%,25.0%,50.0%,0.0%,0.0%,12,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,12.2%,32.7%,42.9%,10.2%,2.0%,49,,,,,,,
,Neutral,7.7%,23.1%,23.1%,38.5%,7.7%,13,,,,,,,
,Not Valuable/Not Valuable At All,100.0%,0.0%,0.0%,0.0%,0.0%,1,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,21.4%,28.6%,42.9%,0.0%,7.1%,14,,,,,,,
,Satisfied,9.5%,28.6%,38.1%,21.4%,2.4%,42,,,,,,,
,Neutral,0.0%,40.0%,40.0%,20.0%,0.0%,5,,,,,,,
,Not Satisfied/ Not Satisfied At All,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
,,,,,,,,,,,,,,
Q14c Value of University/college (all),,,,,,,,,,,,,,
,,University/college,,,,,Total,,,,,,,
,,Very Valuable,Valuable,Neutral,Not Valuable,Not Valuable At All,Count,,,,,,,
All Respondents,_____________   _____________,17.6%,37.8%,32.4%,10.8%,1.4%,74,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,12.5%,40.0%,32.5%,12.5%,2.5%,40,,,,,,,
,Biotechnology/ Life Science Service,27.3%,40.9%,22.7%,9.1%,0.0%,22,,,,,,,
,Other,18.2%,18.2%,54.5%,9.1%,0.0%,11,,,,,,,
Position,CEO/CFO,18.9%,40.5%,27.0%,13.5%,0.0%,37,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,37.5%,37.5%,0.0%,0.0%,8,,,,,,,
,Service Provider,33.3%,0.0%,33.3%,33.3%,0.0%,3,,,,,,,
,Business Dev Director,8.3%,41.7%,33.3%,16.7%,0.0%,12,,,,,,,
,Other/Research,14.3%,35.7%,42.9%,0.0%,7.1%,14,,,,,,,
NJ Employees,Less than 10,22.6%,25.8%,35.5%,16.1%,0.0%,31,,,,,,,
,10 - 49,13.0%,39.1%,34.8%,8.7%,4.3%,23,,,,,,,
,50 or More,15.4%,53.8%,23.1%,7.7%,0.0%,13,,,,,,,
BioNJ Membership,Yes,18.3%,40.0%,30.0%,10.0%,1.7%,60,,,,,,,
,Former member,22.2%,33.3%,33.3%,11.1%,0.0%,9,,,,,,,
,Never member,0.0%,20.0%,60.0%,20.0%,0.0%,5,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,18.9%,37.8%,29.7%,13.5%,0.0%,37,,,,,,,
,Some responsibility,12.5%,41.7%,29.2%,12.5%,4.2%,24,,,,,,,
,No responsibility,25.0%,33.3%,41.7%,0.0%,0.0%,12,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,17.4%,47.8%,28.3%,6.5%,0.0%,46,,,,,,,
,Neutral,15.4%,15.4%,38.5%,23.1%,7.7%,13,,,,,,,
,Not Valuable/Not Valuable At All,100.0%,0.0%,0.0%,0.0%,0.0%,1,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,28.6%,42.9%,28.6%,0.0%,0.0%,14,,,,,,,
,Satisfied,10.3%,43.6%,33.3%,10.3%,2.6%,39,,,,,,,
,Neutral,40.0%,20.0%,20.0%,20.0%,0.0%,5,,,,,,,
,Not Satisfied/ Not Satisfied At All,50.0%,0.0%,0.0%,50.0%,0.0%,2,,,,,,,
,,,,,,,,,,,,,,
Q14d Value of Investment firm (all),,,,,,,,,,,,,,
,,Investment firm,,,,Total,,,,,,,,
,,Very Valuable,Valuable,Neutral,Not Valuable,Count,,,,,,,,
All Respondents,_____________   _____________,31.2%,39.0%,22.1%,7.8%,77,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,28.6%,38.1%,23.8%,9.5%,42,,,,,,,,
,Biotechnology/ Life Science Service,39.1%,43.5%,17.4%,0.0%,23,,,,,,,,
,Other,27.3%,36.4%,27.3%,9.1%,11,,,,,,,,
Position,CEO/CFO,31.6%,42.1%,18.4%,7.9%,38,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",50.0%,12.5%,25.0%,12.5%,8,,,,,,,,
,Service Provider,75.0%,25.0%,0.0%,0.0%,4,,,,,,,,
,Business Dev Director,16.7%,58.3%,25.0%,0.0%,12,,,,,,,,
